ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,cbec396a95fd8b9d4722fdac917c472a,2023-01-17,06:51:18,1673918478,misc_pos,73.72,0,fraud_Turcotte-Halvorson,42.448874,-84.409063
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,1787c4f9c8ecf9f8f1551c87c795f43e,2023-01-12,02:15:50,1673469950,grocery_pos,58.25,0,fraud_Schamberger-O'Keefe,42.109437,-84.298309
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,cf076e3432f232cac96e4704fd65fa93,2023-01-22,11:33:48,1674367428,shopping_pos,77.21,0,fraud_Pacocha-Bauch,42.867871,-84.053356
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,4ef284f0204f5087d286bc215d8d581c,2023-02-04,02:04:39,1675456479,food_dining,72.92,0,"fraud_Hagenes, Kohler and Hoppe",42.943014,-84.004898
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,44ed9cb984aa4fdee548ecde590406d1,2023-02-03,11:49:15,1675405155,food_dining,92.79,0,fraud_Kuhn Group,43.162999,-85.121059
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,b794266633be538b5572a47ac666a2c7,2023-01-24,00:19:23,1674499763,shopping_pos,77.43,0,fraud_Hudson-Grady,42.323846,-84.126584
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,76499857394d4d9ed7a41525648deba7,2023-01-12,07:58:26,1673490506,grocery_pos,76.63,0,fraud_Lockman Ltd,43.297476,-85.484184
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,e992ba2ee6f5e7fa28fff31a7508fd40,2023-01-29,11:17:42,1674971262,entertainment,75.93,0,fraud_Spencer PLC,41.933693,-84.861732
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,50ac33c8c00e1da7dce21ab22972cfc0,2023-02-05,05:29:36,1675555176,food_dining,76.35,0,fraud_Haag-Blanda,43.729581,-85.439738
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,7afea393643cabdf3dfad2eb3d7283fc,2023-01-11,03:42:46,1673388766,grocery_pos,48.48,0,fraud_Hackett-Lueilwitz,42.273258,-84.054505
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,8d19a5f126f29537281f492a57af4a1e,2023-01-03,02:30:44,1672693244,gas_transport,61.29,0,fraud_Rodriguez Group,42.023999,-84.02332
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,c35051a8b02ffa3f61a83807531e960e,2023-01-17,09:52:51,1673929371,misc_pos,80.46,0,"fraud_Nienow, Ankunding and Collier",42.544478,-85.579649
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,e42d445636ef25036d141097a0c62747,2023-01-29,09:27:41,1674964661,entertainment,55.52,0,fraud_Howe PLC,43.388389,-85.682406
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,06dd9f155b8e77a7f73b7e7d608d5a45,2023-01-24,07:46:13,1674526573,shopping_pos,101.77,0,fraud_Macejkovic-Lesch,42.255851,-83.76244
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,22f6df2d6dc8c3b5bb679a369f45d888,2023-01-23,02:50:42,1674422442,shopping_pos,97.72,0,fraud_Mohr Inc,43.636061,-84.740766
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,2286307a074ce302ed5403a2f0810287,2023-01-07,04:58:22,1673047702,grocery_net,107.37,0,fraud_Wiegand-Lowe,42.119831,-84.899317
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,f9b5f90dc54da0ce883c480ba6b5a98f,2023-01-11,02:18:58,1673383738,grocery_pos,101.06,0,fraud_Kiehn Inc,42.699945,-84.112101
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,2bac8b88ce63d7edb5926edd62f5478e,2023-01-23,11:21:41,1674453101,shopping_pos,63.49,0,fraud_Turner and Sons,42.014381,-85.068655
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,1f06077509f9bbcb53c011439c29ea3e,2023-01-10,04:37:40,1673305660,grocery_pos,64.34,0,fraud_Auer-Mosciski,43.479711,-85.076196
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,7e85d777da0cf43b462932bbd45bf996,2023-02-04,05:22:42,1675468362,food_dining,95.68,0,fraud_Jakubowski Group,42.483669,-84.082618
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,36065b0d111b68be271deaaadd7be025,2023-01-20,09:14:38,1674186278,misc_pos,71.67,0,fraud_Halvorson Group,41.99307,-84.529858
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,6d9c16523299b6fafa981e41fe9b3ed1,2023-01-21,10:37:00,1674277620,shopping_net,80.35,0,fraud_Fisher Inc,41.921086,-85.598334
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,1f07a3edddf561140bbcb896d0c30987,2023-01-12,11:03:32,1673501612,grocery_pos,88.07,0,fraud_Lockman Ltd,42.855821,-83.877167
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,14bfb540f2bad0c8429aef23b346dfd6,2023-01-06,00:04:52,1672943692,gas_transport,137.31,0,fraud_Kling Inc,43.315604,-85.047013
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,e29dbdccc37bc11a59e57d9e38c922a3,2023-02-01,11:04:31,1675229671,entertainment,69.4,0,fraud_Spencer PLC,43.29439,-84.125529
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,ffe246dac41a1f063e73b137857a8b66,2023-01-01,05:03:08,1672529588,gas_transport,106.01,0,fraud_Berge LLC,43.064869,-84.757975
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,d29884dac3933c3665cf890dfe3feee5,2023-01-10,04:10:01,1673304001,grocery_pos,102.88,0,"fraud_Moen, Reinger and Murphy",42.074652,-84.634736
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,16f804389a283c50569309a64b367b29,2023-01-28,02:49:14,1674854354,shopping_pos,86.95,0,fraud_Macejkovic-Lesch,41.938749,-85.56843
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,7801f654585bae4bba70d60f77aa9bd5,2023-01-13,04:07:10,1673563030,grocery_pos,5.11,0,fraud_Padberg-Welch,41.858942,-85.139302
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,fdc6a446b99824e23d42f59cb3a0aa6e,2023-01-01,04:45:50,1672528550,gas_transport,9.17,0,fraud_Erdman-Kertzmann,43.26794,-85.454588
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,7c7b26afa908b3a6d629894ea77961d3,2023-02-04,02:34:50,1675458290,food_dining,6.07,0,fraud_Kihn-Schuster,43.638842,-85.023361
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,577c2d83686ac17c98e7acd033669c02,2023-01-24,05:19:28,1674517768,shopping_pos,9.44,0,fraud_Metz-Boehm,43.606215,-84.947715
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,0f86ffa709cf74492b0076c99ba4da40,2023-01-22,02:27:41,1674334661,shopping_pos,65.8,0,fraud_Beier-Hyatt,43.70129,-84.955256
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,34e678c603fca05de5becc78e2ed0d21,2023-01-14,02:54:08,1673645048,grocery_pos,36.92,0,"fraud_Goldner, Kovacek and Abbott",41.809274,-83.963572
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,329019afcf6565281c34f2609d55f598,2023-01-03,01:31:01,1672689661,gas_transport,5.35,0,"fraud_Streich, Hansen and Veum",42.217573,-85.635317
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,d594f7fa0749dfd0936e4599513b337f,2023-01-25,11:25:46,1674626146,shopping_pos,16.38,0,"fraud_Weimann, Kuhic and Beahan",43.454433,-85.702973
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,6d496f3e938fd737c80e493bcf0b8526,2023-01-23,09:02:49,1674444769,shopping_pos,167.43,0,fraud_Barrows PLC,42.534914,-85.720671
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,454c436b80f8251f55f42a22c458bb4a,2023-01-08,10:51:22,1673155282,grocery_pos,12.83,0,"fraud_Rowe, Batz and Goodwin",42.608048,-85.711157
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,133a61c0632b5e3365be09c2495b2394,2023-02-01,10:07:11,1675226231,entertainment,8.49,0,fraud_Stark-Batz,42.998087,-85.039077
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,aafc27d858a37d3f23b70924600feb28,2023-01-19,00:11:42,1674067302,misc_pos,87.71,0,fraud_Balistreri-Nader,42.050707,-85.382596
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,b932fa51203985039b3cd9e4a9e466fb,2023-01-08,02:07:43,1673123863,grocery_pos,278.13,0,"fraud_Moen, Reinger and Murphy",42.593052,-83.742266
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,c5aec333cf4c3dee3adabbdd5dc51e83,2023-02-05,05:28:12,1675555092,food_dining,1.44,0,"fraud_Lesch, D'Amore and Brown",41.849547,-85.696247
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,2ab3ca9277f7e4df95872f03dcaf39e8,2023-01-18,03:45:44,1673993744,misc_pos,10.0,0,fraud_Wiza LLC,42.444682,-84.016244
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,f1604cf3e92f32e3b2bb3f6219a6f059,2023-01-01,03:04:20,1672522460,gas_transport,2.09,0,"fraud_Stroman, Hudson and Erdman",42.306857,-84.055557
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,c12e42eab4c53216fce2df93d711fc5e,2023-01-08,01:25:40,1673121340,grocery_pos,7.7,0,fraud_Pacocha-O'Reilly,42.184344,-84.109488
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,60440de582a42a4252976e3643f9b902,2023-01-28,08:06:43,1674873403,shopping_pos,13.23,0,fraud_Conroy Ltd,42.018084,-83.838451
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,5cce906911f9dd0af28e21ba55729b6d,2023-01-21,08:37:13,1674270433,shopping_net,5.62,0,"fraud_Romaguera, Cruickshank and Greenholt",43.183744,-85.196166
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,e0790cd6958539bcab0746343119e095,2023-01-21,01:54:35,1674246275,shopping_net,2.4,0,"fraud_Little, Gutmann and Lynch",42.67407,-85.304343
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,8e7c4f797b899c02578b0e160331caaa,2023-01-11,03:31:39,1673388099,grocery_pos,3.92,0,fraud_DuBuque LLC,43.162969,-84.479242
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,035ef1c4ecf2069768877a87ff15677e,2023-02-03,02:39:02,1675372142,food_dining,8.23,0,fraud_Kuphal-Toy,43.728003,-85.734361
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,fd527e530bb885483c1a333fb7998a29,2023-02-03,04:05:33,1675377333,food_dining,3.02,0,"fraud_Armstrong, Walter and Gottlieb",42.571543,-84.11553
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,573d0f8074090a92088e0dcf7694f917,2023-01-18,04:11:35,1673995295,misc_pos,2.2,0,fraud_Balistreri-Nader,43.392952,-85.166929
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,df3c5642ab0a7b5fe3f56af1861e47d9,2023-01-15,08:21:30,1673751090,misc_pos,2.8,0,fraud_McGlynn-Jaskolski,42.01377,-85.043784
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,544852cb5b6c256eee4f8024c4719189,2023-01-17,08:56:58,1673926018,misc_pos,5.31,0,fraud_Williamson LLC,42.02707,-84.874899
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,fbb468eb82f0c58859276c3ed7ea8e2a,2023-01-03,07:29:56,1672711196,gas_transport,10.76,0,fraud_Mraz-Herzog,43.476757,-84.511887
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,eca8f098a41b89ad5c75f26d7c8da3b9,2023-01-30,02:00:15,1675024215,entertainment,117.9,0,fraud_Schuppe LLC,42.562923,-85.098772
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,fc4006fa64d5e025d1d3db1669783f8d,2023-01-03,05:45:03,1672704903,gas_transport,4.32,0,fraud_Friesen-D'Amore,43.225592,-84.306685
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,cddf020996a904010b89d67f6ed4178b,2023-01-26,07:58:23,1674700103,shopping_pos,12.26,0,"fraud_Roob, Conn and Tremblay",43.261994,-83.867745
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,b4e69a08f6d68e46e7cc7971283f09d0,2023-01-06,01:37:04,1672949224,gas_transport,42.01,0,fraud_Mraz-Herzog,42.043622,-85.638888
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,6f1ac3ad020fd758d7c697804e9ca28a,2023-01-15,01:55:26,1673727926,misc_net,116.06,0,fraud_Dooley-Thompson,42.952013,-84.646838
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,fdbc08b5554e5c23ad976d112113c33c,2023-02-05,07:57:10,1675564030,food_dining,61.47,0,fraud_Zboncak LLC,42.203371,-84.970221
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,60cd10dc250ffd13d10269e4d63207aa,2023-01-01,11:09:01,1672551541,gas_transport,162.42,0,fraud_Marks Inc,41.898633,-84.153622
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,42ce144a3bff0d8f1e8a3535d5bdcb56,2023-01-13,02:48:39,1673558319,grocery_pos,73.54,0,"fraud_Schumm, Bauch and Ondricka",42.830249,-84.084728
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,1695feb69075574a85f30eb2bf171454,2023-01-25,06:30:38,1674608438,shopping_pos,52.5,0,"fraud_Quitzon, Green and Bashirian",42.633419,-84.009745
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,0f6d5569f85f8eec2585b52f02549c93,2023-02-01,09:39:38,1675224578,entertainment,52.75,0,fraud_Johns Inc,42.17003,-85.611376
